COD_PROV,NUTS2
1,ITC1
2,ITC1
3,ITC1
4,ITC1
5,ITC1
6,ITC1
96,ITC1
103,ITC1
7,ITC2
12,ITC4
13,ITC4
14,ITC4
15,ITC4
16,ITC4
17,ITC4
18,ITC4
19,ITC4
20,ITC4
97,ITC4
98,ITC4
108,ITC4
21,ITH1
22,ITH2
23,ITH3
24,ITH3
25,ITH3
26,ITH3
27,ITH3
28,ITH3
29,ITH3
30,ITH4
31,ITH4
32,ITH4
93,ITH4
8,ITC3
9,ITC3
10,ITC3
11,ITC3
33,ITH5
34,ITH5
35,ITH5
36,ITH5
37,ITH5
38,ITH5
39,ITH5
40,ITH5
99,ITH5
45,ITI1
46,ITI1
47,ITI1
48,ITI1
49,ITI1
50,ITI1
51,ITI1
52,ITI1
53,ITI1
100,ITI1
54,ITI2
55,ITI2
41,ITI3
42,ITI3
43,ITI3
44,ITI3
109,ITI3
56,ITI4
57,ITI4
58,ITI4
59,ITI4
60,ITI4
66,ITF1
67,ITF1
68,ITF1
69,ITF1
70,ITF2
94,ITF2
61,ITF3
62,ITF3
63,ITF3
64,ITF3
65,ITF3
71,ITF4
72,ITF4
73,ITF4
74,ITF4
75,ITF4
110,ITF4
76,ITF5
77,ITF5
78,ITF6
79,ITF6
80,ITF6
101,ITF6
102,ITF6
81,ITG1
82,ITG1
83,ITG1
84,ITG1
85,ITG1
86,ITG1
87,ITG1
88,ITG1
89,ITG1
90,ITG2
91,ITG2
92,ITG2
95,ITG2
111,ITG2
